scope,image_id,method,frequency_filter,pyramid_levels,nms,noise_sigma,repeatability,localization_error_px,repeated_points,reference_keypoints,scene_keypoints
noise_curve,IMG_0261,Shi-Tomasi,none,3,True,10.0,0.6666666666666666,1.9815614819526672,60,90,216
noise_curve,IMG_0261,Shi-Tomasi,none,3,True,20.0,0.6555555555555556,2.22452974319458,59,90,217
noise_curve,IMG_0261,SIFT,none,3,True,0.0,0.5217391304347826,1.7647691369056702,12,23,40
noise_curve,IMG_0261,SIFT,none,3,True,5.0,0.43478260869565216,1.7469254732131958,10,23,40
noise_curve,IMG_0261,SIFT,none,3,True,10.0,0.43478260869565216,1.911574363708496,10,23,37
noise_curve,IMG_0261,SIFT,none,3,True,20.0,0.5217391304347826,1.694464087486267,12,23,41
noise_curve,IMG_0261,Sobel,ideal_lowpass,3,True,0.0,0.8620689655172413,2.7930994033813477,25,29,71
noise_curve,IMG_0261,Sobel,ideal_lowpass,3,True,5.0,0.8275862068965517,2.8827993869781494,24,29,73
noise_curve,IMG_0261,Sobel,ideal_lowpass,3,True,10.0,0.896551724137931,2.8986393213272095,26,29,72
noise_curve,IMG_0261,Sobel,ideal_lowpass,3,True,20.0,0.8620689655172413,3.3570635318756104,25,29,70
noise_curve,IMG_0261,LoG,ideal_lowpass,3,True,0.0,0.5555555555555556,2.4885411262512207,25,45,135
noise_curve,IMG_0261,LoG,ideal_lowpass,3,True,5.0,0.5333333333333333,2.713828444480896,24,45,133
noise_curve,IMG_0261,LoG,ideal_lowpass,3,True,10.0,0.5111111111111111,2.6080520153045654,23,45,127
noise_curve,IMG_0261,LoG,ideal_lowpass,3,True,20.0,0.5777777777777777,2.8320151567459106,26,45,131
noise_curve,IMG_0261,Harris,ideal_lowpass,3,True,0.0,0.5544554455445545,2.509722590446472,56,101,219
noise_curve,IMG_0261,Harris,ideal_lowpass,3,True,5.0,0.5445544554455446,2.2494101524353027,55,101,219
noise_curve,IMG_0261,Harris,ideal_lowpass,3,True,10.0,0.5544554455445545,2.3066214323043823,56,101,219
noise_curve,IMG_0261,Harris,ideal_lowpass,3,True,20.0,0.5643564356435643,2.8390305042266846,57,101,219
noise_curve,IMG_0261,Shi-Tomasi,ideal_lowpass,3,True,0.0,0.5454545454545454,2.4875670671463013,42,77,181
noise_curve,IMG_0261,Shi-Tomasi,ideal_lowpass,3,True,5.0,0.5454545454545454,2.302069306373596,42,77,179
noise_curve,IMG_0261,Shi-Tomasi,ideal_lowpass,3,True,10.0,0.5454545454545454,2.302069306373596,42,77,182
noise_curve,IMG_0261,Shi-Tomasi,ideal_lowpass,3,True,20.0,0.5714285714285714,2.3031612634658813,44,77,185
noise_curve,IMG_0261,SIFT,ideal_lowpass,3,True,0.0,0.631578947368421,1.9353191256523132,12,19,74
noise_curve,IMG_0261,SIFT,ideal_lowpass,3,True,5.0,0.631578947368421,2.2418415546417236,12,19,72
noise_curve,IMG_0261,SIFT,ideal_lowpass,3,True,10.0,0.631578947368421,2.2196630239486694,12,19,71
noise_curve,IMG_0261,SIFT,ideal_lowpass,3,True,20.0,0.631578947368421,2.2544504404067993,12,19,70
noise_curve,IMG_0261,Sobel,gaussian_lowpass,3,True,0.0,0.8888888888888888,2.2973649501800537,32,36,74
