frequency_filter,method,image_scale,count,repeatability,repeatability_std,repeatability_valid_count,localization_error_px,localization_error_px_std,localization_error_px_valid_count
ideal_lowpass,Shi-Tomasi,1.25,11,0.5469399008482199,0.047248281173422044,11,2.264463083310561,0.2140786288862712,11
ideal_lowpass,Sobel,0.5,11,0.4883689839572192,0.16000204817997263,11,2.7772361907092007,0.523253276848561,11
ideal_lowpass,Sobel,0.75,11,0.527877658190313,0.0896796192395138,11,2.6418813575397837,0.3738526969648575,11
ideal_lowpass,Sobel,1.0,11,0.6472222448397997,0.14706294920579982,11,2.7778983658010308,0.2102720646402349,11
ideal_lowpass,Sobel,1.25,11,0.6957905521855365,0.11606095005684192,11,2.8324026844718238,0.3659373059309948,11
none,Harris,0.5,11,0.5688820659611591,0.0938524853394852,11,2.565231653777036,0.39162275118082984,11
none,Harris,0.75,11,0.6255644703263648,0.14157118747628028,11,2.3031578985127537,0.2866990716826875,11
none,Harris,1.0,11,0.6859568484408757,0.10738483167925128,11,2.3431153405796397,0.32561277927972165,11
none,Harris,1.25,11,0.6906323920667906,0.11993557364013685,11,2.3198791525580664,0.3801955066866931,11
none,LoG,0.5,11,0.5382490719561619,0.11809146566636872,11,2.2694308866154063,0.581745097243654,11
none,LoG,0.75,11,0.6400958911173078,0.1337971191168786,11,2.0829239108345727,0.28980446945510185,11
none,LoG,1.0,11,0.7379078931663939,0.13985185636592112,11,2.05559072711251,0.30301389906582593,11
none,LoG,1.25,11,0.7499326023023961,0.10264390346388985,11,2.1950484676794573,0.3896859769468474,11
none,SIFT,0.5,11,0.5483653672272598,0.08315978432470882,11,2.2847279581156643,0.6803881268116547,11
none,SIFT,0.75,11,0.6785757188250794,0.13324332209994053,11,2.221481680870056,0.5787135718514395,11
none,SIFT,1.0,11,0.6308119558758946,0.1379793832850702,11,1.841551360758868,0.3889832955446231,11
none,SIFT,1.25,11,0.6005434782608695,0.1675306629602275,11,1.8355789563872598,0.5278150338337976,11
none,Shi-Tomasi,0.5,11,0.5779297538031958,0.1454708986751257,11,2.5108302343975413,0.3889647058976034,11
none,Shi-Tomasi,0.75,11,0.6224331319461655,0.11832269993608352,11,2.4712365865707397,0.4429158100661543,11
none,Shi-Tomasi,1.0,11,0.6528525415172542,0.11741162005607779,11,2.289873578331687,0.3819214686167745,11
none,Shi-Tomasi,1.25,11,0.7086812769454034,0.10909506385352936,11,2.299252054908059,0.2661013871751377,11
none,Sobel,0.5,11,0.7111414483376634,0.08609255695976716,11,2.5432447411797265,0.47500177437443974,11
none,Sobel,0.75,11,0.6801252520491157,0.12748455323248004,11,2.315550760789351,0.35124091239344213,11
none,Sobel,1.0,11,0.7393025130073315,0.17831897002263022,11,2.132452217015353,0.4038815452416446,11
none,Sobel,1.25,11,0.7960396785793589,0.15547361008727326,11,2.00536170872775,0.30995566538064023,11
